species,dex,family,base_aspects,source_resolver,texture,base_texture,alpha_iou,status,reason
bulbasaur,1,mythical_twilight,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/10_bulbasaur_twilight.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_twilight.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_twilight,shiny,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/10_bulbasaur_twilight.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_shiny_twilight.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur_shiny.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_twilight,female,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/10_bulbasaur_twilight.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_twilight.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_twilight,"shiny,female",assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/10_bulbasaur_twilight.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_shiny_twilight.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur_shiny.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_firework,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/10_bulbasaur_twilight.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_galaxy,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/10_bulbasaur_twilight.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_glitch,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/10_bulbasaur_twilight.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_holographic,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/10_bulbasaur_twilight.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_magma,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/10_bulbasaur_twilight.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_matrix,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/10_bulbasaur_twilight.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_radiant,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/10_bulbasaur_twilight.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_frosted,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/11_bulbasaur_frosted.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_frosted.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_frosted,shiny,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/11_bulbasaur_frosted.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_shiny_frosted.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur_shiny.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_frosted,female,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/11_bulbasaur_frosted.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_frosted.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_frosted,"shiny,female",assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/11_bulbasaur_frosted.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_shiny_frosted.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur_shiny.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_frosted,female,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/11_bulbasaur_frosted.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_female_frosted.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_frosted,"shiny,female",assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/11_bulbasaur_frosted.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_female_shiny_frosted.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur_shiny.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_frosted,"female,female",assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/11_bulbasaur_frosted.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_female_frosted.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_frosted,"shiny,female,female",assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/11_bulbasaur_frosted.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_female_shiny_frosted.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur_shiny.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_firework,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/11_bulbasaur_frosted.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_galaxy,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/11_bulbasaur_frosted.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_glitch,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/11_bulbasaur_frosted.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_holographic,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/11_bulbasaur_frosted.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_magma,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/11_bulbasaur_frosted.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_matrix,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/11_bulbasaur_frosted.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_radiant,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/11_bulbasaur_frosted.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_marine,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/12_bulbasaur_marine.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_marine.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_marine,shiny,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/12_bulbasaur_marine.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_shiny_marine.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur_shiny.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_marine,female,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/12_bulbasaur_marine.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_female_marine.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_marine,"shiny,female",assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/12_bulbasaur_marine.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_shiny_marine.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur_shiny.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_firework,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/12_bulbasaur_marine.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_galaxy,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/12_bulbasaur_marine.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_glitch,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/12_bulbasaur_marine.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_holographic,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/12_bulbasaur_marine.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_magma,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/12_bulbasaur_marine.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_matrix,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/12_bulbasaur_marine.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_radiant,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/12_bulbasaur_marine.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_smp_v2,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/13_bulbasaur_smp_v2.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_smp_v2.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_smp_v2,shiny,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/13_bulbasaur_smp_v2.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_shiny_smp_v2.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur_shiny.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_smp_v2,female,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/13_bulbasaur_smp_v2.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_female_smp_v2.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_smp_v2,"shiny,female",assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/13_bulbasaur_smp_v2.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_female_shiny_smp_v2.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur_shiny.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_firework,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/13_bulbasaur_smp_v2.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_galaxy,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/13_bulbasaur_smp_v2.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_glitch,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/13_bulbasaur_smp_v2.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_holographic,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/13_bulbasaur_smp_v2.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_magma,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/13_bulbasaur_smp_v2.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_matrix,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/13_bulbasaur_smp_v2.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_radiant,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/13_bulbasaur_smp_v2.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_firework,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/2_bulbasaur_base.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_galaxy,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/2_bulbasaur_base.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_glitch,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/2_bulbasaur_base.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_holographic,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/2_bulbasaur_base.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_magma,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/2_bulbasaur_base.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_matrix,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/2_bulbasaur_base.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_radiant,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/2_bulbasaur_base.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_twilight,female,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/3_bulbasaur_female.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_female_twilight.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_twilight,"shiny,female",assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/3_bulbasaur_female.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_female_shiny_twilight.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur_shiny.png,-1.000000,rejected,dimension_mismatch_64x64_vs_64x32
bulbasaur,1,mythical_rainbow,female,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/3_bulbasaur_female.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_female_rainbow.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur.png,-1.000000,rejected,dimension_mismatch_128x128_vs_64x32
bulbasaur,1,mythical_rainbow,"female,shiny",assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/3_bulbasaur_female.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_female_shiny_rainbow.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur_shiny.png,-1.000000,rejected,dimension_mismatch_128x128_vs_64x32
bulbasaur,1,mythical_firework,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/3_bulbasaur_female.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_galaxy,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/3_bulbasaur_female.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_glitch,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/3_bulbasaur_female.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_holographic,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/3_bulbasaur_female.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_magma,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/3_bulbasaur_female.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_matrix,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/3_bulbasaur_female.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_radiant,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/3_bulbasaur_female.json,,,,rejected,effect_only_or_no_texture
bulbasaur,1,mythical_rainbow,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/4_bulbasaur_rainbow.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_rainbow.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur.png,-1.000000,rejected,dimension_mismatch_128x128_vs_64x32
bulbasaur,1,mythical_rainbow,shiny,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/4_bulbasaur_rainbow.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_shiny_rainbow.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur_shiny.png,-1.000000,rejected,dimension_mismatch_128x128_vs_64x32
bulbasaur,1,mythical_rainbow,female,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/4_bulbasaur_rainbow.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_rainbow.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur.png,-1.000000,rejected,dimension_mismatch_128x128_vs_64x32
bulbasaur,1,mythical_rainbow,"shiny,female",assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/4_bulbasaur_rainbow.json,mythicalcobbled:textures/pokemon/0001_bulbasaur/bulbasaur_shiny_rainbow.png,cobblemon:textures/pokemon/0001_bulbasaur/bulbasaur_shiny.png,-1.000000,rejected,dimension_mismatch_128x128_vs_64x32
bulbasaur,1,mythical_firework,,assets/cobblemon/bedrock/pokemon/resolvers/0001_bulbasaur/4_bulbasaur_rainbow.json,,,,rejected,effect_only_or_no_texture
